lib32-alsa-lib 1.1.1-1
lib32-alsa-plugins 1.1.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-elfutils 0.166-1
lib32-expat 2.1.1-2
lib32-flac 1.3.1-2
lib32-gcc-libs 6.1.1-1
lib32-glew 1.13.0-1
lib32-glibc 2.23-4
lib32-glu 9.0.0-3
lib32-gmp 6.1.0-2
lib32-gnutls 3.4.11-1
lib32-gperftools 2.4-1
lib32-json-c 0.12-1
lib32-libasyncns 0.8-7
lib32-libcanberra 0.30-4
lib32-libcanberra-pulse 0.30-4
lib32-libcap 2.25-1
lib32-libcurl-gnutls 7.46.0-1
lib32-libdbus 1.10.8-1
lib32-libdrm 2.4.68-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.0-1
lib32-libglvnd 0.1.0.20160411-1
lib32-libgnutls28 3.3.22-1
lib32-libgpg-error 1.22-1
lib32-libice 1.0.9-1
lib32-libidn 1.32-1
lib32-libjpeg-turbo 1.4.2-1
lib32-libltdl 2.4.6-4
lib32-libmikmod 3.3.8-1
lib32-libogg 1.3.2-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.21-1
lib32-libpulse 8.0-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.26-1
lib32-libssh2 1.7.0-2
lib32-libtasn1 4.8-1
lib32-libtiff 4.0.6-2
lib32-libtxc_dxtn 1.0.1-5
lib32-libvorbis 1.3.5-1
lib32-libwebp 0.5.0-1
lib32-libx11 1.6.3-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.11.1-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.6-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrender 0.9.9-1
lib32-libxshmfence 1.2-1
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.2-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.8.0-1
lib32-mesa 11.2.2-1
lib32-mesa-demos 8.3.0-1
lib32-ncurses 6.0-2
lib32-nettle 3.2-1
lib32-nettle4 2.7.1-4
lib32-nvidia-utils 1:364.19-1
lib32-openssl 1:1.0.2.h-1
lib32-p11-kit 0.23.2-1
lib32-primus 20151110-3
lib32-readline 6.3.008-2
lib32-rtmpdump 1:2.4.r96.fa8646d-1
lib32-sdl 1.2.15-6
lib32-sdl2 2.0.4-2
lib32-sdl2_image 2.0.1-1
lib32-sdl_image 1.2.12-3
lib32-sdl_mixer 1.2.12-1
lib32-smpeg 0.4.5-2
lib32-speex 1.2rc2-1
lib32-speexdsp 1.2rc3-1
lib32-systemd 229-1
lib32-tcp_wrappers 7.6-18
lib32-tdb 1.3.8-1
lib32-util-linux 2.28-1
lib32-virtualgl 2.5-2
lib32-wayland 1.10.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libabw 0.1.1-2
libaio 0.3.110-1
libakonadi-qt4 1.13.0-9
libanjuta 3.20.0-1
libao 1.2.0-1
libarchive 3.1.2-8
libart-lgpl 2.3.21-3
libass 0.13.2-1
libassuan 2.4.2-2
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.2-2
libbonobo 2.32.1-4
libbonoboui 2.24.5-3
libbsd 0.8.3-1
libburn 1.4.2.pl01-1
libcaca 0.99.beta19-1
libcacard 2.5.2-1
libcanberra 0.30-6
libcanberra-pulse 0.30-6
libcap 2.25-1
libcap-ng 0.7.7-1
libcdaudio 0.99.12.p2-1
libcddb 1.3.2-4
libcdio 0.93-3
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.2-2
libchamplain 0.12.13-1
libconfig 1.5-2
libcroco 0.6.11-1
libcryptui 3.12.2-1
libcue 2.1.0-1
libcups 2.1.3-2
libcurl-gnutls 7.47.0-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbus 1.10.8-1
libdbusmenu-qt4 0.9.3+16.04.20160218-1
libdc1394 2.2.4-1
libdca 0.0.5-4
libdmapsharing 2.9.34-1
libdmtx 0.7.4-5
libdmx 1.1.3-1
libdrm 2.4.68-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdcss 1.4.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-5
libebml 1.3.3-2
libedit 20150325_3.1-2
libelf 0.166-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libev 4.22-1
libevdev 1.5.1-1
libevent 2.0.22-2
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libftdi-compat 0.20-3
libgames-support 1.0.2-1
libgcrypt 1.7.0-2
libgda 5.2.4-2
libgdata 0.17.4-1
libgdiplus 3.12-1
libgdm 3.20.1-1
libgee 0.18.0-1
libgexiv2 0.10.3-4
libgit2 1:0.24.1-1
libgit2-glib 0.24.0-1
libgksu 2.0.12-6
libglade 2.6.4-5
libglademm 2.6.7-4
libglvnd 0.1.0.20160411-1
libgme 0.6.0-5
libgnome 2.32.1-6
libgnome-data 2.32.1-6
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomecanvasmm 2.26.0-4
libgnomekbd 3.6.0-3
libgnomemm 2.30.0-4
libgnomeui 2.24.5-2
libgnomeuimm 2.28.0-4
libgpg-error 1.22-1
libgphoto2 2.5.10-1
libgsf 1.14.36-1
libgssglue 0.4-2
libgtop 2.34.0-1
libgudev 230-1
libgusb 0.2.9-1
libgweather 3.20.1-1
libgxps 0.2.3.2-1
libibus 1.5.13-2
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-3
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk2 12.10.1-6
libindicator-gtk3 12.10.1-6
libinput 1.3.0-2
libiptcdata 1.0.4-3
libirman 0.4.6-1
libisoburn 1.4.2-2
libisofs 1.4.2-1
libjpeg-turbo 1.4.2-2
libkactivities4 4.13.3-3
libkate 0.4.1-5
libkexiv2_4 15.08.3-2
libksba 1.3.4-1
libkscreen4 1.0.5-2
liblangtag 0.5.8-2
libldap 2.4.44-1
